Sales,Profit,Shipping Cost,Category,Ship Mode,City-States,Order Priority
1035.72,-91.87,91.87,3,4,668,1
345.24,106.98,39.84,3,4,1458,2
155.358,36.228,5.72,3,3,654,1
151.936,17.056,25.581,3,3,962,1
474.8,137.6,63.741,3,4,61,2
548.505,-427.905,46.81,3,4,2104,1
329.103,3.633,16.1,3,4,652,1
248.22,86.82,33.757,3,4,2365,2
99.288,-8.312,5.319,3,4,3210,1
198.576,37.176,24.367,3,2,696,2
99.288,-8.312,10.544,3,2,490,1
248.22,86.82,5.484,3,3,125,1
370.899,86.529,121.47,3,2,1090,3
1236.33,383.22,134.68,3,3,983,1
1112.7,259.587,170.12,3,4,759,4
1648.44,-626.52,157.46,3,4,830,1
1854.49,432.645,120.99,3,4,90,1
1314.45,39.42,85.83,3,2,147,1
2760.34,-214.725,475.34,3,2,3,2
1314.45,39.42,144.26,3,1,908,2
788.67,-61.35,71.21,3,2,1564,2
2190.75,65.7,327.55,3,3,49,1
529.74,117.72,174.41,3,3,734,3
274.992,-158.208,46.37,3,3,355,2
618.732,-31.068,37.72,3,4,148,1
411.332,-29.88,29.88,3,4,111,1
411.332,-4.8392,8.98,3,1,161,1
241.96,33.8744,11.25,3,3,346,1
359.058,-35.9058,101.13,3,3,1289,2
290.666,-15.3,15.3,3,4,27,2
136.784,5.1294,9.96,3,1,1,2
1025.88,235.952,90.12,3,4,841,1
341.96,78.6508,12.28,3,4,158,4
230.16,64.44,32.499,3,4,609,2
276.192,-55.248,7.439,3,4,3330,1
644.448,64.428,64.06,3,4,1786,1
438.84,65.79,50.45,3,4,1419,2
394.956,21.906,31.62,3,4,50,1
206.976,62.056,18.133,3,4,434,1
646.8,284.5,49.007,3,4,1421,1
1034.88,-89.135,89.135,3,2,1425,2
931.392,279.252,39.307,3,2,580,1
342.54,-67.29,67.29,3,3,7,3
616.572,-133.668,95.21,3,4,212,2
145.74,23.3184,10.61,3,2,346,1
194.32,-4.23,4.23,3,4,3037,1
102.018,-183.632,9.21,3,4,1478,1
48.58,7.7728,17.2,3,2,48,3
77.728,-3.8864,5.22,3,4,2123,1
155.456,-7.7728,18.41,3,2,437,1
2291.81,127.134,448.91,3,3,64,2
2546.46,381.78,256.7,3,4,410,2
1637.01,90.81,329.73,3,1,261,2
1309.61,72.648,33.97,3,2,2405,1
292.34,46.76,13.062,3,2,3081,1
350.808,-140.352,39.315,3,4,29,2
701.616,-35.124,61.839,3,4,197,1
1461.7,233.8,48.59,3,4,2073,1
1461.7,233.8,180.522,3,2,191,2
1169.36,187.04,87.118,3,4,1451,1
655.776,-36.444,37.05,3,4,1024,1
1275.12,-1147.65,122.72,3,4,1082,2
655.776,-36.444,69.7,3,4,1702,2
260.352,-358.048,28.071,3,4,2561,2
493.68,54.24,30.39,3,4,1458,1
2325.28,511.52,347.815,3,2,241,2
697.584,-209.296,67.792,3,4,29,1
348.792,-104.648,32.073,3,2,182,2
2092.75,52.272,169.925,3,4,626,1
2615.94,575.46,82.809,3,3,365,1
1162.64,255.76,72.761,3,4,1187,1
697.584,-209.296,127.847,3,2,596,2
697.584,17.424,83.039,3,4,1511,4
1578.64,613.836,93.38,3,2,152,2
1578.64,613.836,161.06,3,4,64,1
657.765,-65.835,57.43,3,4,811,1
877.02,394.62,83.22,3,4,1505,2
1973.3,767.295,53.02,3,4,1826,1
394.065,75.015,22.69,3,4,835,1
250.2,122.58,26.39,3,4,544,4
500.4,245.16,12.32,3,4,886,1
232.686,105.066,27.8,3,4,132,2
444.312,-89.028,22.98,3,4,832,1
311.4,-373.68,33.63,3,2,413,1
875.22,139.98,220.767,3,1,526,2
1166.96,-138.144,138.144,3,4,958,1
583.48,93.32,41.07,3,4,219,2
583.48,93.32,125.9,3,3,1052,2
525.132,-43.077,43.077,3,4,29,1
700.176,-35.064,51.475,3,4,2018,1
1867.14,-93.504,116.174,3,2,1132,2
450.16,-60.759,60.759,3,4,263,4
112.54,46.14,9.801,3,4,241,1
225.08,92.28,20.023,3,2,1936,1
540.192,-91.013,91.013,3,2,127,2
360.128,94.528,40.29,3,1,296,1
1109.05,86.202,110.81,3,4,1174,4
1014.72,141.96,222.52,3,1,104,2
289.92,40.56,12.13,3,4,370,2
276.261,-109.629,11.02,3,4,110,1
815.629,43.8486,100.7,3,3,74,1
2039.07,109.621,170.58,3,4,757,1
246.12,66.42,27.86,3,4,398,1
364.59,153.09,64.91,3,3,1774,2
364.59,153.09,4.12,3,2,487,1
875.016,311.016,39.43,3,4,548,1
972.24,408.24,76.84,3,4,1598,1
486.12,-77.88,36.46,3,4,669,1
567.135,-510.435,51.6,3,4,669,1
630.15,31.5,181.05,3,3,57,3
163.839,-75.621,7.14,3,4,80,1
441.9,30.87,67.81,3,4,225,4
73.65,-63.36,8.35,3,4,1035,2
397.71,-13.32,21.93,3,4,1797,1
1060.56,-35.52,119.28,3,4,545,2
132.57,-4.44,3.26,3,2,3479,1
900.072,9.972,135.97,3,2,807,2
266.688,-30.012,11.11,3,4,256,1
1333.44,146.64,167.89,3,4,52,1
465.037,19.9872,43.69,3,4,194,4
166.68,-20.55,20.55,3,2,52,2
666.72,73.32,66.9,3,2,1630,2
232.848,-97.032,13.37,3,4,212,1
638.82,172.481,42.26,3,4,1475,4
212.94,57.4938,11.48,3,4,102,1
250.68,112.8,16.12,3,4,541,1
1767.55,44.032,156.804,3,1,699,1
1104.72,27.52,34.51,3,4,1001,1
276.18,60.74,46.637,3,4,2028,2
276.18,60.74,28.317,3,4,1017,2
1380.9,303.7,261.262,3,4,397,2
552.36,121.48,40.875,3,4,1892,1
439.452,117.132,50.05,3,4,242,1
854.49,290.43,31.32,3,4,957,4
366.21,124.47,26.83,3,4,1448,4
854.49,290.43,12.56,3,4,2508,1
610.35,207.45,16.99,3,4,598,1
244.14,82.98,24.25,3,4,308,1
200.544,-13.376,13.966,3,4,29,1
200.544,40.104,26.767,3,4,580,2
83.56,30.08,15.789,3,4,2965,2
100.272,-6.688,12.42,3,2,182,1
200.544,40.104,26.343,3,4,1001,2
200.544,40.104,12.885,3,4,924,1
267.392,-18.093,18.093,3,4,209,1
334.88,-11.933,11.933,3,4,241,1
167.44,71.96,6.132,3,4,362,1
251.16,107.94,25.397,3,4,767,1
418.6,179.9,41.4,3,2,797,1
150.696,7.476,29.813,3,3,1009,1
956.665,-225.098,23.35,3,4,1433,1
956.665,-225.098,70.53,3,4,124,1
321.568,-16.0784,46.66,3,4,1,4
301.47,-205.0,14.87,3,4,72,1
409.999,-96.4704,98.77,3,3,786,3
1037.19,373.38,48.94,3,2,1806,1
933.471,269.661,57.78,3,4,954,1
740.85,266.7,39.62,3,4,1827,1
592.68,213.36,40.89,3,4,1297,1
459.513,30.573,51.84,3,3,1674,1
306.342,20.382,21.19,3,4,1252,1
306.342,20.382,31.42,3,4,73,1
473.04,-23.76,6.35,3,2,291,1
598.104,166.104,110.03,3,2,1178,2
218.862,82.662,35.16,3,4,1334,2
182.385,-21.915,19.27,3,2,761,1
437.724,-68.34,68.34,3,4,1720,2
729.54,320.94,135.88,3,2,403,2
78.4917,-44.8683,6.71,3,4,110,1
872.13,8.61,86.57,3,4,889,4
205.632,-85.728,28.96,3,1,31,1
330.48,-313.98,23.717,3,4,1095,1
1321.92,33.0,181.116,3,4,696,2
991.44,-297.48,63.515,3,4,1318,1
826.2,181.74,58.053,3,4,1905,1
759.06,15.12,206.28,3,2,186,3
293.52,85.08,12.18,3,4,257,1
396.252,83.592,8.67,3,1,605,2
440.28,127.62,7.3,3,4,2687,1
582.426,26.766,31.41,3,4,80,1
154.143,13.683,15.46,3,2,251,1
513.81,92.43,125.15,3,1,129,3
342.54,61.62,15.2,3,4,359,1
856.35,154.05,44.64,3,4,129,1
786.618,227.178,68.67,3,4,87,1
499.44,179.76,30.63,3,4,201,1
374.58,134.82,42.33,3,2,601,2
312.15,-87.45,30.24,3,2,669,3
729.48,240.72,56.01,3,2,304,1
364.74,-124.02,31.26,3,4,1984,1
1969.6,503.316,106.68,3,2,152,1
2553.18,842.52,302.55,3,1,318,1
729.48,-492.42,39.1,3,2,916,1
1092.96,393.39,304.16,3,3,264,3
677.635,211.255,307.25,3,3,133,3
364.32,131.13,31.07,3,4,236,1
291.456,58.266,19.22,3,4,256,1
1821.6,655.65,187.65,3,4,531,1
677.635,211.255,70.09,3,4,74,2
364.32,131.13,12.81,3,3,401,2
565.8,271.56,17.45,3,4,785,1
498.36,56.01,28.42,3,4,4,1
872.13,-143.63,143.63,3,3,499,2
336.393,70.983,58.02,3,3,1906,2
560.655,118.305,45.58,3,4,2129,1
410.76,-57.54,51.68,3,4,1099,2
985.824,-419.076,112.85,3,4,916,2
1314.43,-84.19,84.19,3,4,4,1
1232.28,529.83,185.6,3,4,677,2
821.52,353.22,57.73,3,4,763,1
821.52,353.22,67.95,3,4,1725,2
95.2,14.28,12.277,3,2,1603,2
228.48,-14.28,23.966,3,2,58,1
761.6,114.24,71.153,3,4,191,2
456.96,-28.56,1.548,3,4,197,1
228.48,-95.2,11.686,3,2,1256,1
76.16,-15.701,15.701,3,3,696,1
114.24,-47.6,9.12,3,3,490,2
249.72,-33.38,25.606,3,2,182,1
332.96,106.48,69.991,3,1,1616,2
49.944,-6.676,6.868,3,1,29,2
249.72,79.86,31.247,3,4,313,4
149.832,-20.028,29.681,3,2,1057,2
875.22,166.26,176.63,3,3,236,3
551.389,-157.571,42.63,3,4,110,1
2756.94,275.583,133.11,3,2,6,1
264.512,-27.225,27.225,3,2,197,1
247.98,-66.22,16.346,3,4,1318,1
330.64,79.28,93.217,3,2,125,3
132.256,6.576,23.376,3,4,89,2
745.686,182.226,41.01,3,4,2150,1
2899.89,927.78,541.59,3,3,82,2
1242.81,397.62,32.26,3,4,2439,1
662.832,99.372,67.81,3,4,4,4
341.46,88.74,27.28,3,4,1217,2
153.657,27.297,6.4,3,4,101,1
512.19,133.11,57.08,3,4,411,1
170.73,44.37,12.61,3,4,3094,1
853.65,221.85,83.82,3,4,274,1
752.919,-131.601,22.89,3,4,835,1
255.42,16.98,8.75,3,4,1852,1
212.85,-144.81,26.58,3,2,2466,1
283.8,45.36,44.94,3,2,2144,2
339.48,-59.49,30.31,3,4,1711,1
424.35,25.38,47.59,3,2,611,2
381.915,-17.055,64.46,3,2,6,2
394.646,-54.08,54.08,3,3,194,2
424.35,25.38,53.34,3,4,1325,2
1027.15,-719.208,40.53,3,4,916,1
1100.52,352.08,283.25,3,1,196,3
330.156,80.676,66.46,3,4,91,4
586.944,168.744,104.75,3,3,476,3
880.416,44.016,61.06,3,4,198,1
1100.52,473.22,62.94,3,4,349,1
660.312,242.112,123.82,3,3,65,1
366.84,157.74,57.23,3,3,218,2
660.312,242.112,49.35,3,4,101,1
1320.62,484.224,410.88,3,3,101,3
691.116,-142.644,51.79,3,4,391,1
1535.81,-409.626,156.97,3,2,563,1
1828.35,438.75,191.76,3,4,646,2
98.808,4.928,17.966,3,2,1893,3
461.104,132.524,142.408,3,2,89,3
494.04,212.4,72.536,3,2,797,2
263.488,75.728,39.301,3,2,127,2
247.02,106.2,17.147,3,4,1597,1
247.02,106.2,14.249,3,4,2934,1
1586.41,17.532,307.98,3,2,65,2
793.206,8.766,72.96,3,4,413,1
1322.01,145.35,83.03,3,4,1345,1
793.206,8.766,51.74,3,2,330,1
3278.58,140.825,492.28,3,4,63,2
555.244,-229.196,30.53,3,4,110,1
859.307,-317.353,69.78,3,4,80,1
219.96,16.92,16.31,3,4,80,1
507.6,203.04,52.81,3,2,1325,2
1353.6,-155.51,155.51,3,3,840,1
629.424,223.344,110.85,3,4,133,4
769.86,59.22,87.47,3,1,80,3
57.984,-66.696,14.89,3,3,1563,3
695.808,-301.632,48.13,3,4,212,1
287.94,0.0,21.1,3,4,369,2
2634.55,116.952,298.63,3,4,65,1
548.865,-395.235,18.91,3,4,114,1
731.82,-39.66,39.66,3,4,2259,1
987.957,43.857,103.66,3,2,3,2
373.23,29.79,23.98,3,4,1417,1
447.876,-10.044,42.67,3,4,227,1
349.872,-113.748,26.248,3,4,498,1
159.408,-6.642,6.642,3,2,2373,1
506.43,192.42,80.97,3,3,1488,1
168.81,64.14,60.25,3,1,1305,3
607.716,189.036,51.52,3,4,64,4
303.858,94.518,11.1,3,4,586,1
151.929,47.259,19.82,3,4,2821,2
506.43,192.42,64.57,3,4,1533,1
524.64,241.28,81.12,3,2,952,1
393.48,180.96,27.667,3,4,569,1
314.784,31.424,34.103,3,3,29,1
823.5,172.92,260.6,3,2,398,3
411.75,86.46,44.82,3,4,7,4
418.464,-188.336,153.098,3,3,853,3
705.348,101.868,98.18,3,2,452,2
1567.44,360.48,157.47,3,4,829,4
434.16,73.8,56.04,3,4,1046,2
434.16,73.8,35.81,3,4,1367,1
434.16,73.8,94.83,3,3,1367,2
514.165,-74.4,74.4,3,3,27,2
102.833,-6.049,6.94,3,4,1432,2
308.499,-18.147,24.38,3,4,1474,1
241.96,24.196,3.41,3,2,3550,1
616.998,-36.294,93.48,3,3,27,2
362.94,-33.18,33.18,3,4,493,1
205.666,-12.098,17.41,3,4,161,1
290.352,-36.294,20.97,3,4,612,4
205.666,-12.098,34.5,3,4,2228,2
120.98,12.098,33.01,3,3,1418,3
96.798,-52.122,11.21,3,3,80,1
804.168,-89.352,61.92,3,2,3,1
148.92,0.0,5.55,3,4,960,1
297.84,0.0,16.23,3,4,1076,1
595.68,0.0,29.23,3,4,1077,1
402.084,-44.676,40.7,3,3,31,2
487.88,97.56,99.203,3,3,1311,1
585.456,-0.024,304.53,3,3,211,3
780.608,-0.032,226.629,3,3,513,2
487.88,97.56,30.021,3,2,1205,2
731.82,146.34,51.93,3,2,362,1
731.82,146.34,69.02,3,4,1705,1
1219.7,243.9,37.349,3,4,1719,1
731.82,146.34,44.594,3,4,92,1
286.74,8.58,31.584,3,4,966,2
229.392,-141.488,17.127,3,4,29,1
172.044,-14.325,14.325,3,2,1893,1
822.42,-133.88,133.88,3,4,186,2
493.452,-205.608,35.6,3,2,212,1
195.76,46.96,10.206,3,4,61,1
195.76,46.96,72.611,3,1,949,3
195.76,46.96,21.822,3,2,339,3
78.304,3.904,2.903,3,4,2714,1
263.106,-122.784,62.84,3,2,31,2
877.02,105.24,275.91,3,3,368,3
3076.5,215.25,359.27,3,2,215,1
1186.65,-39.6,77.32,3,2,3,1
2637.0,184.5,200.83,3,4,616,1
2197.5,153.75,627.27,3,3,25,3
396.252,149.652,30.78,3,4,548,1
409.46,162.86,36.29,3,4,617,1
953.94,131.94,4.73,3,4,1771,4
293.52,129.12,24.37,3,4,1624,4
393.48,-157.47,27.85,3,4,916,2
1239.46,468.132,63.95,3,2,91,1
590.22,259.65,59.78,3,4,1031,4
196.74,-23.64,12.38,3,2,2344,2
205.524,6.804,18.981,3,4,766,2
137.016,4.536,15.548,3,2,596,2
182.688,50.208,34.203,3,4,301,4
570.9,239.7,174.853,3,3,339,3
784.782,270.282,65.69,3,4,1473,1
1307.97,536.22,236.79,3,1,471,2
1177.17,405.423,131.28,3,2,1007,2
784.782,270.282,50.13,3,4,589,1
321.659,-132.751,30.79,3,4,110,1
474.83,20.4201,79.19,3,1,194,2
1107.94,47.6469,86.92,3,4,1457,1
850.95,93.6,83.8,3,4,52,1
680.76,74.88,53.17,3,4,1981,2
408.456,-45.954,37.63,3,4,256,1
674.244,217.224,95.76,3,3,78,2
249.72,97.38,19.79,3,2,855,2
124.86,48.69,15.09,3,4,129,4
561.87,181.02,69.08,3,4,314,2
874.02,340.83,90.7,3,4,684,1
223.182,27.222,32.05,3,4,142,4
248.22,96.78,8.19,3,4,7,1
548.905,253.795,61.93,3,4,133,2
590.22,295.11,65.77,3,4,750,2
786.96,393.48,138.04,3,3,960,2
5486.67,2316.51,346.6,3,4,6,1
3048.15,1463.07,185.65,3,4,160,1
1567.62,661.86,89.78,3,4,3,1
435.45,209.01,29.68,3,4,232,1
100.54,-5.717,5.717,3,4,365,1
201.08,36.16,22.996,3,2,673,3
321.728,-8.112,159.301,3,3,820,3
80.432,-2.028,23.323,3,3,719,3
100.54,18.08,8.317,3,4,24,1
246.9,32.04,17.234,3,4,61,1
493.8,64.08,58.522,3,1,189,3
164.6,21.36,9.245,3,4,2073,1
592.56,-52.02,131.107,3,3,89,2
49.38,-22.24,3.482,3,4,490,2
263.36,-309.6,53.239,3,1,1876,3
1098.96,233.46,66.627,3,2,1621,2
219.792,-126.408,32.743,3,2,1095,2
494.532,-24.768,50.507,3,3,1009,2
2472.66,914.76,523.466,3,3,92,2
1648.44,609.84,109.129,3,2,1187,1
274.74,101.64,21.107,3,4,61,1
824.22,304.92,75.519,3,4,1029,1
824.22,304.92,24.83,3,4,1713,1
549.48,203.28,59.933,3,4,191,2
1318.75,280.152,51.005,3,4,1604,1
1236.42,531.63,50.03,3,3,52,1
1298.24,123.591,128.18,3,4,110,1
535.782,65.922,27.53,3,3,515,1
535.782,65.922,11.89,3,3,637,2
2060.7,-179.5,179.5,3,4,707,1
3709.26,1594.89,192.23,3,4,615,1
741.852,271.992,72.51,3,4,31,1
1112.78,407.988,106.29,3,4,87,2
329.712,94.782,31.0,3,4,476,1
484.52,58.12,59.013,3,2,125,1
186.048,9.3024,12.92,3,4,1,1
174.42,41.8608,9.29,3,2,48,1
87.21,-45.3492,15.75,3,3,72,2
148.257,15.6978,21.5,3,2,2212,2
523.26,125.582,41.61,3,3,662,1
166.48,-116.62,10.333,3,2,2823,1
245.04,9.78,18.19,3,4,547,1
367.56,14.67,17.87,3,4,304,1
393.504,-59.136,31.94,3,4,2451,1
232.413,-107.067,16.9,3,4,110,1
1029.26,10.8189,354.47,3,2,74,3
110.673,-2.487,28.07,3,3,880,3
860.79,68.67,35.01,3,4,1414,1
309.884,-142.756,126.59,3,1,110,3
2442.07,-244.251,353.57,3,3,227,2
2713.41,27.09,167.35,3,4,773,1
1162.89,11.61,138.49,3,4,304,2
246.9,34.56,10.93,3,4,304,1
740.7,103.68,46.19,3,4,2113,1
612.684,-296.136,117.25,3,1,291,3
340.38,37.44,32.6,3,2,369,1
90.882,-190.852,5.94,3,3,479,1
1106.46,187.92,83.06,3,4,1358,1
737.64,-129.31,129.31,3,3,386,3
73.764,-3.5,3.5,3,4,198,1
491.76,83.52,32.74,3,4,295,1
737.64,125.28,75.51,3,4,926,1
387.261,-123.039,68.73,3,3,203,2
272.544,-54.576,12.426,3,4,981,1
136.272,-27.288,4.361,3,1,1028,1
567.8,158.9,66.39,3,2,1750,2
181.696,18.136,6.987,3,4,696,1
