Sales,Quantity,Discount,Profit,Shipping Cost,Category,Ship Mode,City-States,Segment,Order Priority,Market
145.74,3,0.0,23.3184,10.61,3,2,346,1,1,3
194.32,4,0.0,-4.23,4.23,3,4,3037,3,1,3
102.018,7,0.7,-183.632,9.21,3,4,1478,1,1,3
48.58,1,0.0,7.7728,17.2,3,2,48,1,3,3
77.728,2,0.2,-3.8864,5.22,3,4,2123,1,1,3
155.456,4,0.2,-7.7728,18.41,3,2,437,1,1,3
2291.81,7,0.1,127.134,448.91,3,3,64,3,2,5
2546.46,7,0.0,381.78,256.7,3,4,410,1,2,5
1637.01,5,0.1,90.81,329.73,3,1,261,3,2,5
1309.61,4,0.1,72.648,33.97,3,2,2405,1,1,5
292.34,1,0.0,46.76,13.062,3,2,3081,1,1,7
350.808,2,0.4,-140.352,39.315,3,4,29,1,2,7
701.616,3,0.2,-35.124,61.839,3,4,197,1,1,7
1461.7,5,0.0,233.8,48.59,3,4,2073,1,1,7
1461.7,5,0.0,233.8,180.522,3,2,191,3,2,7
1169.36,4,0.0,187.04,87.118,3,4,1451,3,1,7
655.776,2,0.1,-36.444,37.05,3,4,1024,1,1,5
1275.12,7,0.5,-1147.65,122.72,3,4,1082,1,2,5
655.776,2,0.1,-36.444,69.7,3,4,1702,2,2,5
260.352,8,0.6,-358.048,28.071,3,4,2561,1,2,7
493.68,4,0.0,54.24,30.39,3,4,1458,1,1,5
2325.28,8,0.0,511.52,347.815,3,2,241,1,2,7
697.584,4,0.4,-209.296,67.792,3,4,29,3,1,7
348.792,2,0.4,-104.648,32.073,3,2,182,2,2,7
2092.75,9,0.2,52.272,169.925,3,4,626,1,1,7
2615.94,9,0.0,575.46,82.809,3,3,365,1,1,7
1162.64,4,0.0,255.76,72.761,3,4,1187,3,1,7
697.584,4,0.4,-209.296,127.847,3,2,596,1,2,7
697.584,3,0.2,17.424,83.039,3,4,1511,3,4,7
1578.64,4,0.1,613.836,93.38,3,2,152,3,2,5
1578.64,4,0.1,613.836,161.06,3,4,64,2,1,5
657.765,3,0.5,-65.835,57.43,3,4,811,1,1,5
877.02,2,0.0,394.62,83.22,3,4,1505,3,2,5
1973.3,5,0.1,767.295,53.02,3,4,1826,3,1,5
394.065,5,0.37,75.015,22.69,3,4,835,1,1,6
250.2,2,0.0,122.58,26.39,3,4,544,2,4,6
500.4,4,0.0,245.16,12.32,3,4,886,1,1,6
232.686,2,0.07,105.066,27.8,3,4,132,2,2,6
444.312,6,0.4,-89.028,22.98,3,4,832,1,1,6
311.4,2,0.6,-373.68,33.63,3,2,413,1,1,6
875.22,3,0.0,139.98,220.767,3,1,526,3,2,7
1166.96,5,0.2,-138.144,138.144,3,4,958,1,1,7
583.48,2,0.0,93.32,41.07,3,4,219,2,2,7
583.48,2,0.0,93.32,125.9,3,3,1052,1,2,7
525.132,3,0.4,-43.077,43.077,3,4,29,3,1,7
700.176,3,0.2,-35.064,51.475,3,4,2018,3,1,7
1867.14,8,0.2,-93.504,116.174,3,2,1132,1,2,7
450.16,5,0.2,-60.759,60.759,3,4,263,3,4,7
112.54,1,0.0,46.14,9.801,3,4,241,1,1,7
225.08,2,0.0,92.28,20.023,3,2,1936,1,1,7
540.192,6,0.2,-91.013,91.013,3,2,127,1,2,7
360.128,4,0.2,94.528,40.29,3,1,296,1,1,7
1109.05,3,0.1,86.202,110.81,3,4,1174,2,4,6
1014.72,7,0.0,141.96,222.52,3,1,104,1,2,6
289.92,2,0.0,40.56,12.13,3,4,370,1,2,6
276.261,1,0.37,-109.629,11.02,3,4,110,1,1,6
815.629,2,0.07,43.8486,100.7,3,3,74,1,1,6
2039.07,5,0.07,109.621,170.58,3,4,757,1,1,6
246.12,2,0.0,66.42,27.86,3,4,398,2,1,6
364.59,3,0.0,153.09,64.91,3,3,1774,1,2,6
364.59,3,0.0,153.09,4.12,3,2,487,3,1,6
875.016,8,0.1,311.016,39.43,3,4,548,1,1,6
972.24,8,0.0,408.24,76.84,3,4,1598,3,1,6
486.12,8,0.5,-77.88,36.46,3,4,669,1,1,6
567.135,9,0.5,-510.435,51.6,3,4,669,3,1,6
630.15,5,0.0,31.5,181.05,3,3,57,3,3,6
163.839,2,0.35,-75.621,7.14,3,4,80,2,1,6
441.9,3,0.0,30.87,67.81,3,4,225,1,4,5
73.65,1,0.5,-63.36,8.35,3,4,1035,1,2,5
397.71,3,0.1,-13.32,21.93,3,4,1797,1,1,5
1060.56,8,0.1,-35.52,119.28,3,4,545,1,2,5
132.57,1,0.1,-4.44,3.26,3,2,3479,1,1,5
900.072,6,0.1,9.972,135.97,3,2,807,1,2,6
266.688,2,0.2,-30.012,11.11,3,4,256,3,1,6
1333.44,8,0.0,146.64,167.89,3,4,52,1,1,6
465.037,3,0.07,19.9872,43.69,3,4,194,3,4,6
166.68,1,0.0,-20.55,20.55,3,2,52,1,2,6
666.72,4,0.0,73.32,66.9,3,2,1630,1,2,6
232.848,2,0.4,-97.032,13.37,3,4,212,1,1,6
638.82,9,0.0,172.481,42.26,3,4,1475,1,4,3
212.94,3,0.0,57.4938,11.48,3,4,102,2,1,3
250.68,2,0.0,112.8,16.12,3,4,541,1,1,6
1767.55,8,0.2,44.032,156.804,3,1,699,3,1,7
1104.72,5,0.2,27.52,34.51,3,4,1001,1,1,7
276.18,1,0.0,60.74,46.637,3,4,2028,3,2,7
276.18,1,0.0,60.74,28.317,3,4,1017,1,2,7
1380.9,5,0.0,303.7,261.262,3,4,397,2,2,7
552.36,2,0.0,121.48,40.875,3,4,1892,1,1,7
439.452,4,0.1,117.132,50.05,3,4,242,1,1,5
854.49,7,0.0,290.43,31.32,3,4,957,2,4,5
366.21,3,0.0,124.47,26.83,3,4,1448,2,4,5
854.49,7,0.0,290.43,12.56,3,4,2508,1,1,5
610.35,5,0.0,207.45,16.99,3,4,598,1,1,5
244.14,2,0.0,82.98,24.25,3,4,308,1,1,5
200.544,4,0.4,-13.376,13.966,3,4,29,2,1,7
200.544,3,0.2,40.104,26.767,3,4,580,1,2,7
83.56,1,0.0,30.08,15.789,3,4,2965,2,2,7
100.272,2,0.4,-6.688,12.42,3,2,182,1,1,7
200.544,3,0.2,40.104,26.343,3,4,1001,3,2,7
200.544,3,0.2,40.104,12.885,3,4,924,3,1,7
267.392,4,0.2,-18.093,18.093,3,4,209,3,1,7
334.88,4,0.0,-11.933,11.933,3,4,241,1,1,7
167.44,2,0.0,71.96,6.132,3,4,362,2,1,7
251.16,3,0.0,107.94,25.397,3,4,767,1,1,7
418.6,5,0.0,179.9,41.4,3,2,797,1,1,7
150.696,3,0.4,7.476,29.813,3,3,1009,3,1,7
956.665,7,0.32,-225.098,23.35,3,4,1433,3,1,3
956.665,7,0.32,-225.098,70.53,3,4,124,1,1,3
321.568,2,0.2,-16.0784,46.66,3,4,1,1,4,3
301.47,3,0.5,-205.0,14.87,3,4,72,1,1,3
409.999,3,0.32,-96.4704,98.77,3,3,786,1,3,3
1037.19,7,0.0,373.38,48.94,3,2,1806,1,1,5
933.471,7,0.1,269.661,57.78,3,4,954,1,1,5
740.85,5,0.0,266.7,39.62,3,4,1827,3,1,5
592.68,4,0.0,213.36,40.89,3,4,1297,2,1,5
459.513,3,0.1,30.573,51.84,3,3,1674,2,1,5
306.342,2,0.1,20.382,21.19,3,4,1252,1,1,5
306.342,2,0.1,20.382,31.42,3,4,73,1,1,5
473.04,4,0.4,-23.76,6.35,3,2,291,2,1,6
598.104,4,0.1,166.104,110.03,3,2,1178,3,2,5
218.862,2,0.1,82.662,35.16,3,4,1334,3,2,5
182.385,3,0.5,-21.915,19.27,3,2,761,1,1,5
437.724,4,0.1,-68.34,68.34,3,4,1720,3,2,5
729.54,6,0.0,320.94,135.88,3,2,403,1,2,5
78.4917,1,0.37,-44.8683,6.71,3,4,110,2,1,6
872.13,7,0.0,8.61,86.57,3,4,889,3,4,6
205.632,2,0.4,-85.728,28.96,3,1,31,1,1,6
330.48,3,0.6,-313.98,23.717,3,4,1095,1,1,7
1321.92,6,0.2,33.0,181.116,3,4,696,1,2,7
991.44,6,0.4,-297.48,63.515,3,4,1318,1,1,7
826.2,3,0.0,181.74,58.053,3,4,1905,3,1,7
759.06,6,0.0,15.12,206.28,3,2,186,2,3,6
293.52,2,0.0,85.08,12.18,3,4,257,2,1,5
396.252,3,0.1,83.592,8.67,3,1,605,1,2,5
440.28,3,0.0,127.62,7.3,3,4,2687,1,1,5
582.426,6,0.35,26.766,31.41,3,4,80,1,1,6
154.143,1,0.1,13.683,15.46,3,2,251,1,1,5
513.81,3,0.0,92.43,125.15,3,1,129,1,3,5
342.54,2,0.0,61.62,15.2,3,4,359,3,1,5
856.35,5,0.0,154.05,44.64,3,4,129,1,1,5
786.618,7,0.1,227.178,68.67,3,4,87,1,1,6
499.44,4,0.0,179.76,30.63,3,4,201,1,1,6
374.58,3,0.0,134.82,42.33,3,2,601,1,2,6
312.15,5,0.5,-87.45,30.24,3,2,669,1,3,6
729.48,2,0.0,240.72,56.01,3,2,304,1,1,5
364.74,2,0.5,-124.02,31.26,3,4,1984,1,1,5
1969.6,6,0.1,503.316,106.68,3,2,152,1,1,5
2553.18,7,0.0,842.52,302.55,3,1,318,1,1,5
729.48,5,0.6,-492.42,39.1,3,2,916,1,1,5
1092.96,3,0.0,393.39,304.16,3,3,264,3,3,6
677.635,2,0.07,211.255,307.25,3,3,133,3,3,6
364.32,1,0.0,131.13,31.07,3,4,236,3,1,6
291.456,1,0.2,58.266,19.22,3,4,256,1,1,6
1821.6,5,0.0,655.65,187.65,3,4,531,3,1,6
677.635,2,0.07,211.255,70.09,3,4,74,1,2,6
364.32,1,0.0,131.13,12.81,3,3,401,3,2,6
565.8,4,0.0,271.56,17.45,3,4,785,3,1,5
498.36,5,0.2,56.01,28.42,3,4,4,2,1,5
872.13,7,0.0,-143.63,143.63,3,3,499,1,2,5
336.393,3,0.1,70.983,58.02,3,3,1906,1,2,5
560.655,5,0.1,118.305,45.58,3,4,2129,3,1,5
410.76,2,0.5,-57.54,51.68,3,4,1099,1,2,5
985.824,6,0.6,-419.076,112.85,3,4,916,3,2,5
1314.43,4,0.2,-84.19,84.19,3,4,4,1,1,5
1232.28,3,0.0,529.83,185.6,3,4,677,1,2,5
821.52,2,0.0,353.22,57.73,3,4,763,1,1,5
821.52,2,0.0,353.22,67.95,3,4,1725,3,2,5
95.2,1,0.0,14.28,12.277,3,2,1603,1,2,7
228.48,3,0.2,-14.28,23.966,3,2,58,1,1,7
761.6,8,0.0,114.24,71.153,3,4,191,3,2,7
456.96,6,0.2,-28.56,1.548,3,4,197,1,1,7
228.48,4,0.4,-95.2,11.686,3,2,1256,1,1,7
76.16,1,0.2,-15.701,15.701,3,3,696,3,1,7
114.24,2,0.4,-47.6,9.12,3,3,490,1,2,7
249.72,5,0.4,-33.38,25.606,3,2,182,1,1,7
332.96,4,0.0,106.48,69.991,3,1,1616,2,2,7
49.944,1,0.4,-6.676,6.868,3,1,29,1,2,7
249.72,3,0.0,79.86,31.247,3,4,313,3,4,7
149.832,3,0.4,-20.028,29.681,3,2,1057,1,2,7
875.22,2,0.0,166.26,176.63,3,3,236,3,3,6
551.389,2,0.37,-157.571,42.63,3,4,110,2,1,6
2756.94,7,0.1,275.583,133.11,3,2,6,3,1,6
264.512,4,0.2,-27.225,27.225,3,2,197,2,1,7
247.98,5,0.4,-66.22,16.346,3,4,1318,1,1,7
